,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,BinaryCommitment,NoOperatingReserve,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedChargeRate,StorageInvestment,BinaryInvestment,Inertia,FixedRetirementCost,BinaryRetirement,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunction
101_CT_1,Node_101,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.114,0,0,0,0.051747,0,0.951745717,0.966,,,,,0,,,0,0,0,0,0,0,
101_CT_2,Node_101,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.114,0,0,0,0.051747,0,0.951745717,0.966,,,,,0,,,0,0,0,0,0,0,
101_STEAM_3,Node_101,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,13.27,0,0,0,11.17201435,0,1.264025941,0.966,,,,,0,,,0,0,0,0,0,0,
101_STEAM_4,Node_101,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,13.27,0,0,0,11.17201435,0,1.264025941,0.966,,,,,0,,,0,0,0,0,0,0,
102_CT_1,Node_102,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.639,0,0,0,0.051747,0,1.062422263,0.966,,,,,0,,,0,0,0,0,0,0,
102_CT_2,Node_102,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.639,0,0,0,0.051747,0,1.062422263,0.966,,,,,0,,,0,0,0,0,0,0,
102_STEAM_3,Node_102,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.591,0,0,0,11.17201435,0,1.104093797,0.966,,,,,0,,,0,0,0,0,0,0,
102_STEAM_4,Node_102,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.591,0,0,0,11.17201435,0,1.104093797,0.966,,,,,0,,,0,0,0,0,0,0,
107_CC_1,Node_107,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.222,0,0,0,28.04668102,0,0.386549629,0.966,,,,,0,,,0,0,0,0,0,0,
113_CT_1,Node_113,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,
113_CT_2,Node_113,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,
113_CT_3,Node_113,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,
113_CT_4,Node_113,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,
115_STEAM_1,Node_115,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,17.34,0,0,0,0.7037592,0,1.337099677,0.966,,,,,0,,,0,0,0,0,0,0,
115_STEAM_2,Node_115,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,17.34,0,0,0,0.7037592,0,1.337099677,0.966,,,,,0,,,0,0,0,0,0,0,
115_STEAM_3,Node_115,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,11.446,0,0,0,22.78479562,0,1.090281908,0.966,,,,,0,,,0,0,0,0,0,0,
116_STEAM_1,Node_116,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,13.238,0,0,0,22.78479562,0,1.2609778,0.966,,,,,0,,,0,0,0,0,0,0,
118_CC_1,Node_118,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.257,0,0,0,28.04668102,0,0.388422966,0.966,,,,,0,,,0,0,0,0,0,0,
123_STEAM_2,Node_123,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.967,0,0,0,22.78479562,0,1.044655049,0.966,,,,,0,,,0,0,0,0,0,0,
123_STEAM_3,Node_123,Coal,,,,,,yes,,2015,2050,350,140,0,0,0,0,0,0,0,0.08,240,240,24,48,2.11399,12.106,0,0,0,36.74981356,0,1.153149815,0.966,,,,,0,,,0,0,0,0,0,0,
123_CT_1,Node_123,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.725,0,0,0,5.665234428,0,0.681091668,0.966,,,,,0,,,0,0,0,0,0,0,
123_CT_4,Node_123,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.725,0,0,0,5.665234428,0,0.681091668,0.966,,,,,0,,,0,0,0,0,0,0,
123_CT_5,Node_123,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.725,0,0,0,5.665234428,0,0.681091668,0.966,,,,,0,,,0,0,0,0,0,0,
201_CT_1,Node_201,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.977,0,0,0,0.051747,0,1.014377756,0.966,,,,,0,,,0,0,0,0,0,0,
201_CT_2,Node_201,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.977,0,0,0,0.051747,0,1.014377756,0.966,,,,,0,,,0,0,0,0,0,0,
201_STEAM_3,Node_201,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,12.989,0,0,0,11.17201435,0,1.237259454,0.966,,,,,0,,,0,0,0,0,0,0,
202_CT_1,Node_202,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.663,0,0,0,0.051747,0,0.991589274,0.966,,,,,0,,,0,0,0,0,0,0,
202_CT_2,Node_202,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.663,0,0,0,0.051747,0,0.991589274,0.966,,,,,0,,,0,0,0,0,0,0,
202_STEAM_3,Node_202,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.846,0,0,0,11.17201435,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
202_STEAM_4,Node_202,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.846,0,0,0,11.17201435,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
207_CT_1,Node_207,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.051,0,0,0,5.665234428,0,0.698540461,0.966,,,,,0,,,0,0,0,0,0,0,0.05
207_CT_2,Node_207,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.051,0,0,0,5.665234428,0,0.698540461,0.966,,,,,0,,,0,0,0,0,0,0,0.18
213_CC_3,Node_213,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.824,0,0,0,28.04668102,0,0.418771019,0.966,,,,,0,,,0,0,0,0,0,0,0.1
213_CT_1,Node_213,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,0.07
213_CT_2,Node_213,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,0.25
215_CT_4,Node_215,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,14.229,0,0,0,5.665234428,0,0.761591619,0.966,,,,,0,,,0,0,0,0,0,0,0.12
215_CT_5,Node_215,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,14.229,0,0,0,5.665234428,0,0.761591619,0.966,,,,,0,,,0,0,0,0,0,0,0.06
216_STEAM_1,Node_216,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.881,0,0,0,22.78479562,0,1.03646317,0.966,,,,,0,,,0,0,0,0,0,0,
218_CC_1,Node_218,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,11.385,0,0,0,28.04668102,0,0.609369638,0.966,,,,,0,,,0,0,0,0,0,0,
221_CC_1,Node_221,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,6.887,0,0,0,28.04668102,0,0.368619121,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_1,Node_223,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.857,0,0,0,22.78479562,0,1.034177064,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_2,Node_223,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.857,0,0,0,22.78479562,0,1.034177064,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_3,Node_223,Coal,,,,,,yes,,2015,2050,350,140,0,0,0,0,0,0,0,0.08,240,240,24,48,2.11399,11.229,0,0,0,36.74981356,0,1.069611703,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_4,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_5,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_6,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_1,Node_301,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_2,Node_301,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_3,Node_301,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.09,0,0,0,5.665234428,0,0.700627893,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_4,Node_301,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.09,0,0,0,5.665234428,0,0.700627893,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_1,Node_302,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_2,Node_302,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_3,Node_302,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,15.395,0,0,0,5.665234428,0,0.82400049,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_4,Node_302,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,15.395,0,0,0,5.665234428,0,0.82400049,0.966,,,,,0,,,0,0,0,0,0,0,
307_CT_1,Node_307,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.353,0,0,0,5.665234428,0,0.714704679,0.966,,,,,0,,,0,0,0,0,0,0,
307_CT_2,Node_307,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.353,0,0,0,5.665234428,0,0.714704679,0.966,,,,,0,,,0,0,0,0,0,0,
313_CC_1,Node_313,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.934,0,0,0,28.04668102,0,0.424658648,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_1,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_2,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_3,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_4,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_5,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_6,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_7,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_8,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
316_STEAM_1,Node_316,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,11.846,0,0,0,22.78479562,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
318_CC_1,Node_318,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.952,0,0,0,28.04668102,0,0.425622078,0.966,,,,,0,,,0,0,0,0,0,0,
321_CC_1,Node_321,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.227,0,0,0,28.04668102,0,0.386817248,0.966,,,,,0,,,0,0,0,0,0,0,
322_CT_5,Node_322,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.064,0,0,0,5.665234428,0,0.645712368,0.966,,,,,0,,,0,0,0,0,0,0,
